title,title_note,id,variable_name
RT,Record Type,H,Housing Record or Group Quarters Unit
SERIALNO,Housing unit/GQ person serial number,2011000000001..2015999999999,Unique identifier
DIVISION,Division code,0,Puerto Rico
DIVISION,Division code,1,New England (Northeast region)
DIVISION,Division code,2,Middle Atlantic (Northeast region)
DIVISION,Division code,3,East North Central (Midwest region)
DIVISION,Division code,4,West North Central (Midwest region)
DIVISION,Division code,5,South Atlantic (South region)
DIVISION,Division code,6,East South Central (South region)
DIVISION,Division code,7,West South Central (South Region)
DIVISION,Division code,8,Mountain (West region)
DIVISION,Division code,9,Pacific (West region)
PUMA00,Public use microdata area code (PUMA) based on Census 2000 definition for data collected prior to 2012. Use in combination with PUMA10.,00100..08200,Public use microdata area codes
PUMA00,Public use microdata area code (PUMA) based on Census 2000 definition for data collected prior to 2012. Use in combination with PUMA10.,-0009,Code classification is Not Applicable because data collected in 2012 or later
PUMA10,Public use microdata area code (PUMA) based on 2010 Census definition for data collected in 2012 or later. Use in combination with PUMA00.,00100..70301,Public use microdata area codes
REGION,Region code,1,Northeast
REGION,Region code,2,Midwest
REGION,Region code,3,South
REGION,Region code,4,West
REGION,Region code,9,Puerto Rico
ST,State Code,01,Alabama/AL
ST,State Code,02,Alaska/AK
ST,State Code,04,Arizona/AZ
ST,State Code,05,Arkansas/AR
ST,State Code,06,California/CA
ST,State Code,08,Colorado/CO
ST,State Code,09,Connecticut/CT
ST,State Code,10,Delaware/DE
ST,State Code,11,District of Columbia/DC
ST,State Code,12,Florida/FL
ST,State Code,13,Georgia/GA
ST,State Code,15,Hawaii/HI
ST,State Code,16,Idaho/ID
ST,State Code,17,Illinois/IL
ST,State Code,18,Indiana/IN
ST,State Code,19,Iowa/IA
ST,State Code,20,Kansas/KS
ST,State Code,21,Kentucky/KY
ST,State Code,22,Louisiana/LA
ST,State Code,23,Maine/ME
ST,State Code,24,Maryland/MD
ST,State Code,25,Massachusetts/MA
ST,State Code,26,Michigan/MI
ST,State Code,27,Minnesota/MN
ST,State Code,28,Mississippi/MS
ST,State Code,29,Missouri/MO
